state,population,murders_total,murder_rate/10000
Alabama,4903185.0,1880,3.83424243629396
Alaska,731545.0,267,3.649809649440568
Arizona,7278717.0,1094,1.5030121379908026
Arkansas,3017804.0,773,2.5614652243817027
California,39512223.0,5562,1.4076656734803303
Colorado,5758736.0,796,1.3822477710386447
Connecticut,3565287.0,341,0.9564447406337835
Delaware,973764.0,217,2.228466034891411
District of Columbia,705749.0,459,6.50372866273987
Florida,21477737.0,3909,1.8200241487266557
Georgia,10617423.0,2456,2.313179007749809
Hawaii,1415872.0,63,0.44495547620123854
Idaho,1787065.0,166,0.9288973820202399
Illinois,12671821.0,3409,2.6902210818792343
Indiana,6732219.0,1608,2.3885140991402687
Iowa,3155070.0,273,0.865273987581892
Kansas,2913314.0,542,1.8604242453782875
Kentucky,4467673.0,1066,2.386029595272528
Louisiana,4648794.0,2179,4.687237163014752
Maine,1344212.0,112,0.8332019056517871
Maryland,6045680.0,1691,2.7970385465324
Massachusetts,6892503.0,472,0.6848020232998084
Michigan,9986857.0,1588,1.5900898550965534
Minnesota,5639632.0,461,0.8174292223322372
Mississippi,2976149.0,1176,3.9514150669203723
Missouri,6137428.0,2136,3.480285226971298
Montana,1068778.0,154,1.4408979226743066
Nebraska,1934408.0,225,1.163146554398038
Nevada,3080156.0,799,2.5940244585014525
New Hampshire,1359711.0,88,0.6471963527543722
New Jersey,8882190.0,1168,1.3149910100999866
New Mexico,2096829.0,495,2.360707525506372
New York,19453561.0,1705,0.876446219794926
North Carolina,10488084.0,2225,2.121455167597819
North Dakota,762062.0,69,0.9054381402038154
Ohio,11689100.0,2508,2.1455886253004937
Oklahoma,3956971.0,941,2.378081618490507
Oregon,4217737.0,446,1.057439095894315
Pennsylvania,12801989.0,2395,1.8708030447456252
Rhode Island,1059361.0,63,0.5946981246241838
South Carolina,5148714.0,1610,3.1269944300654493
South Dakota,884659.0,90,1.017341145006155
Tennessee,6829174.0,1824,2.670894020272437
Texas,28995881.0,5046,1.7402471751073887
Utah,3205958.0,282,0.8796122719012539
Vermont,623989.0,57,0.9134776414327818
Virginia,8535519.0,1459,1.7093278100605247
Washington,7614893.0,853,1.120173323512228
West Virginia,1792147.0,335,1.8692663046055933
Wisconsin,5822434.0,862,1.48048050007952
Wyoming,578759.0,73,1.2613194784011998
